"MSOA11CD","cases"
"E02002183",5
"E02002184",5
"E02002185",5
"E02002186",5
"E02002187",5
"E02002188",5
"E02002189",5
"E02002190",5
"E02002191",5
"E02002192",5
"E02002193",5
"E02002194",5
"E02002195",5
"E02002196",5
"E02002197",5
"E02002198",5
"E02002199",5
"E02002200",5
"E02002201",5
"E02002202",5
"E02002203",5
"E02002204",5
"E02002205",5
"E02002206",5
"E02002207",5
"E02002208",5
"E02002209",5
"E02002210",5
"E02002211",5
"E02002212",5
"E02002213",5
"E02002214",5
"E02002215",5
"E02002216",5
"E02002217",5
"E02002218",5
"E02002219",5
"E02002220",5
"E02002221",5
"E02002222",5
"E02002223",5
"E02002224",5
"E02002225",5
"E02002226",5
"E02002227",5
"E02002228",5
"E02002229",5
"E02002230",5
"E02002231",5
"E02002232",5
"E02002233",5
"E02002234",5
"E02002235",5
"E02002236",5
"E02002237",5
"E02002238",5
"E02002239",5
"E02002240",5
"E02002241",5
"E02002242",5
"E02002243",5
"E02002244",5
"E02002245",5
"E02002246",5
"E02002247",5
"E02002248",5
"E02002249",5
"E02002250",5
"E02002251",5
"E02002252",5
"E02002253",5
"E02002254",5
"E02002255",5
"E02002256",5
"E02002257",5
"E02002258",5
"E02002259",5
"E02002260",5
"E02002261",5
"E02002262",5
"E02002263",5
"E02002264",5
"E02002265",5
"E02002266",5
"E02002267",5
"E02002268",5
"E02002269",5
"E02002270",5
"E02002271",5
"E02002272",5
"E02002273",5
"E02002274",5
"E02002275",5
"E02002276",5
"E02002277",5
"E02002278",5
"E02002279",5
"E02002280",5
"E02002281",5
"E02002282",5
"E02002283",5
"E02002284",5
"E02002285",5
"E02002286",5
"E02002287",5
"E02002288",5
"E02002289",5
"E02002290",5
"E02002291",5
"E02002292",5
"E02002293",5
"E02002294",5
"E02002295",5
"E02002296",5
"E02002297",5
"E02002298",5
"E02002299",5
"E02002300",5
"E02002301",5
"E02002302",5
"E02002303",5
"E02002304",5
"E02002305",5
"E02002306",5
"E02002307",5
"E02002308",5
"E02002309",5
"E02002310",5
"E02002311",5
"E02002312",5
"E02002313",5
"E02002314",5
"E02002315",5
"E02002316",5
"E02002317",5
"E02002318",5
"E02002319",5
"E02002320",5
"E02002321",5
"E02002322",5
"E02002323",5
"E02002324",5
"E02002325",5
"E02002326",5
"E02002327",5
"E02002328",5
"E02002329",5
"E02002330",5
"E02002331",5
"E02002332",5
"E02002333",5
"E02002334",5
"E02002335",5
"E02002336",5
"E02002337",5
"E02002338",5
"E02002339",5
"E02002340",5
"E02002341",5
"E02002342",5
"E02002343",5
"E02002344",5
"E02002345",5
"E02002346",5
"E02002347",5
"E02002348",5
"E02002349",5
"E02002350",5
"E02002351",5
"E02002352",5
"E02002353",5
"E02002354",5
"E02002356",5
"E02002357",5
"E02002358",5
"E02002359",5
"E02002360",5
"E02002361",5
"E02002362",5
"E02002363",5
"E02002364",5
"E02002366",5
"E02002367",5
"E02002368",5
"E02002369",5
"E02002370",5
"E02002371",5
"E02002373",5
"E02002374",5
"E02002375",5
"E02002376",5
"E02002377",5
"E02002379",5
"E02002380",5
"E02002381",5
"E02002382",5
"E02002383",5
"E02002384",5
"E02002385",5
"E02002386",5
"E02002387",5
"E02002388",5
"E02002389",5
"E02002390",5
"E02002391",5
"E02002392",5
"E02002393",5
"E02002394",5
"E02002395",5
"E02002396",5
"E02002397",5
"E02002398",5
"E02002399",5
"E02002400",5
"E02002401",5
"E02002402",5
"E02002403",5
"E02002404",5
"E02002405",5
"E02002406",5
"E02002407",5
"E02002408",5
"E02002409",5
"E02002410",5
"E02002411",5
"E02002412",5
"E02002414",5
"E02002415",5
"E02002416",5
"E02002417",5
"E02002418",5
"E02002419",5
"E02002420",5
"E02002421",5
"E02002422",5
"E02002423",5
"E02002424",5
"E02002425",5
"E02002426",5
"E02002427",5
"E02002428",5
"E02002429",5
"E02002430",5
"E02002431",5
"E02002432",5
"E02002433",5
"E02002434",5
"E02002435",5
"E02002436",5
"E02002437",5
"E02002438",5
"E02002439",5
"E02002440",5
"E02002441",5
"E02002442",5
"E02002443",5
"E02002444",5
"E02002445",5
"E02002446",5
"E02002447",5
"E02002448",5
"E02002449",5
"E02002450",5
"E02002451",5
"E02002452",5
"E02002453",5
"E02002454",5
"E02002455",5
"E02002456",5
"E02002457",5
"E02002458",5
"E02002459",5
"E02002460",5
"E02002461",5
"E02002462",5
"E02002463",5
"E02002464",5
"E02002465",5
"E02002466",5
"E02002467",5
"E02002468",5
"E02002469",5
"E02002470",5
"E02002471",5
"E02002472",5
"E02002473",5
"E02002474",5
"E02002475",5
"E02002476",5
"E02002477",5
"E02002478",5
"E02002479",5
"E02002480",5
"E02002481",5
"E02002482",5
"E02006852",5
"E02006861",5
"E02006875",5
"E02006876",5
