"MSOA11CD","cases"
"E02004129",5
"E02004130",5
"E02004131",5
"E02004132",5
"E02004133",5
"E02004134",5
"E02004135",5
"E02004136",5
"E02004137",5
"E02004138",5
"E02004139",5
"E02004140",5
"E02004141",5
"E02004142",5
"E02004143",5
"E02004144",5
"E02004145",5
"E02004146",5
"E02004147",5
"E02004148",5
"E02004149",5
"E02004150",5
"E02004151",5
"E02004152",5
"E02004153",5
"E02004154",5
"E02004155",5
"E02004156",5
"E02004157",5
"E02004158",5
"E02004159",5
"E02004160",5
"E02004161",5
"E02004162",5
"E02004163",5
"E02004164",5
"E02004165",5
"E02004166",5
"E02004167",5
"E02004168",5
"E02004169",5
"E02004170",5
"E02004171",5
"E02004172",5
"E02004173",5
"E02004174",5
"E02004175",5
"E02004176",5
"E02004177",5
"E02004178",5
"E02004179",5
"E02004180",5
"E02004181",5
"E02004182",5
"E02004183",5
"E02004184",5
"E02004185",5
"E02004186",5
"E02004187",5
"E02004188",5
"E02004189",5
"E02004190",5
"E02004191",5
"E02004192",5
"E02004193",5
"E02004194",5
"E02004195",5
"E02004196",5
"E02004197",5
"E02004198",5
"E02004199",5
"E02004200",5
"E02004201",5
"E02004202",5
"E02004203",5
"E02004204",5
"E02004205",5
"E02004206",5
"E02004207",5
"E02004208",5
"E02004209",5
"E02004210",5
"E02004211",5
"E02004212",5
"E02004213",5
"E02004214",5
"E02004215",5
"E02004216",5
"E02004217",5
"E02004218",5
"E02004219",5
"E02004220",5
"E02004221",5
"E02004222",5
"E02004223",5
"E02004224",5
"E02004225",5
"E02004226",5
"E02004227",5
"E02004228",5
"E02004229",5
"E02004230",5
"E02004231",5
"E02004232",5
"E02004233",5
"E02004234",5
"E02004235",5
